0,1,0.5488135023,0,Differrence:,IGG:,IPG:,Std div:
0,3,1.548813502,0,1,1.073097854,4.515232808,0.1402696254
0,5,2.548813502,0,1,,,
0,9,3.841135815,1,1.292322313,,,
0,13,5.119855929,2,1.278720114,,,
0,17,6.374960778,3,1.255104849,,,
0,19,7.374960778,3,1,,,
0,21,8.374960778,3,1,,,
0,23,9.374960778,3,1,,,
0,25,10.37496078,3,1,,,
0,27,11.37496078,3,1,,,
0,31,12.58079925,4,1.205838467,,,
0,35,13.81263486,5,1.231835614,,,
0,37,14.81263486,5,1,,,
0,39,15.81263486,5,1,,,
0,43,17.17985598,6,1.36722112,,,
0,45,18.17985598,6,1,,,
0,47,19.17985598,6,1,,,
0,49,20.17985598,6,1,,,
0,51,21.17985598,6,1,,,
0,55,22.56069291,7,1.380836926,,,
0,57,23.56069291,7,1,,,
0,59,24.56069291,7,1,,,
0,61,25.56069291,7,1,,,
0,63,26.56069291,7,1,,,
0,65,27.56069291,7,1,,,
0,67,28.56069291,7,1,,,
0,71,30.0757099,8,1.515016993,,,
0,75,31.29083298,9,1.215123085,,,
0,79,32.69492221,10,1.404089222,,,
0,83,33.95909312,11,1.264170917,,,
0,87,35.32049333,12,1.361400207,,,
0,89,36.32049333,12,1,,,
0,91,37.32049333,12,1,,,
0,95,38.63408722,13,1.313593894,,,
0,97,39.63408722,13,1,,,
0,99,40.63408722,13,1,,,
0,101,41.63408722,13,1,,,
0,103,42.63408722,13,1,,,
0,105,43.63408722,13,1,,,
0,107,44.63408722,13,1,,,
0,111,45.97622369,14,1.342136468,,,
0,113,46.97622369,14,1,,,
0,115,47.97622369,14,1,,,
0,117,48.97622369,14,1,,,
0,119,49.97622369,14,1,,,
0,121,50.97622369,14,1,,,
0,123,51.97622369,14,1,,,
0,127,53.30975271,15,1.333529018,,,
0,129,54.30975271,15,1,,,
0,131,55.30975271,15,1,,,
0,133,56.30975271,15,1,,,
0,135,57.30975271,15,1,,,
0,137,58.30975271,15,1,,,
0,139,59.30975271,15,1,,,
0,141,60.30975271,15,1,,,
0,143,61.30975271,15,1,,,
0,145,62.30975271,15,1,,,
0,147,63.30975271,15,1,,,
0,149,64.30975271,15,1,,,
0,151,65.30975271,15,1,,,
0,155,66.74264405,16,1.432891337,,,
0,157,67.74264405,16,1,,,
0,159,68.74264405,16,1,,,
0,161,69.74264405,16,1,,,
0,163,70.74264405,16,1,,,
0,165,71.74264405,16,1,,,
0,169,73.06225483,17,1.31961078,,,
0,171,74.06225483,17,1,,,
0,173,75.06225483,17,1,,,
0,177,76.37214607,18,1.309891247,,,
0,179,77.37214607,18,1,,,
0,181,78.37214607,18,1,,,
0,183,79.37214607,18,1,,,
0,185,80.37214607,18,1,,,
