0,1,0.5488135023,0,DIfference:,IGG:,IPG:,Std div:
0,3,1.548813502,0,1,1.030508665,9.868410108,0.09802126776
0,5,2.548813502,0,1,,,
0,7,3.548813502,0,1,,,
0,9,4.548813502,0,1,,,
0,11,5.548813502,0,1,,,
0,13,6.548813502,0,1,,,
0,15,7.548813502,0,1,,,
0,17,8.548813502,0,1,,,
0,19,9.548813502,0,1,,,
0,21,10.5488135,0,1,,,
0,23,11.5488135,0,1,,,
0,25,12.5488135,0,1,,,
0,27,13.5488135,0,1,,,
0,29,14.5488135,0,1,,,
0,31,15.5488135,0,1,,,
0,35,16.78064912,1,1.231835614,,,
0,37,17.78064912,1,1,,,
0,39,18.78064912,1,1,,,
0,41,19.78064912,1,1,,,
0,43,20.78064912,1,1,,,
0,45,21.78064912,1,1,,,
0,47,22.78064912,1,1,,,
0,49,23.78064912,1,1,,,
0,51,24.78064912,1,1,,,
0,55,26.16148604,2,1.380836926,,,
0,57,27.16148604,2,1,,,
0,59,28.16148604,2,1,,,
0,61,29.16148604,2,1,,,
0,63,30.16148604,2,1,,,
0,65,31.16148604,2,1,,,
0,67,32.16148604,2,1,,,
0,69,33.16148604,2,1,,,
0,73,34.51206447,3,1.350578426,,,
0,75,35.51206447,3,1,,,
0,77,36.51206447,3,1,,,
0,79,37.51206447,3,1,,,
0,83,38.77623539,4,1.264170917,,,
0,85,39.77623539,4,1,,,
0,87,40.77623539,4,1,,,
0,89,41.77623539,4,1,,,
0,91,42.77623539,4,1,,,
0,93,43.77623539,4,1,,,
0,95,44.77623539,4,1,,,
0,97,45.77623539,4,1,,,
0,99,46.77623539,4,1,,,
0,101,47.77623539,4,1,,,
0,103,48.77623539,4,1,,,
0,105,49.77623539,4,1,,,
0,107,50.77623539,4,1,,,
0,111,52.11837185,5,1.342136468,,,
0,113,53.11837185,5,1,,,
0,115,54.11837185,5,1,,,
0,117,55.11837185,5,1,,,
0,119,56.11837185,5,1,,,
0,121,57.11837185,5,1,,,
0,123,58.11837185,5,1,,,
0,125,59.11837185,5,1,,,
0,127,60.11837185,5,1,,,
0,129,61.11837185,5,1,,,
0,131,62.11837185,5,1,,,
0,133,63.11837185,5,1,,,
0,135,64.11837185,5,1,,,
0,137,65.11837185,5,1,,,
0,139,66.11837185,5,1,,,
0,141,67.11837185,5,1,,,
0,143,68.11837185,5,1,,,
0,145,69.11837185,5,1,,,
0,147,70.11837185,5,1,,,
0,149,71.11837185,5,1,,,
0,151,72.11837185,5,1,,,
